datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-22 10:25:00;147035;146800;147070;146755;293892;90543;Compra
2025-10-22 10:30:00;146795;147125;147285;146780;501288;154221;Compra
2025-10-22 10:35:00;147120;147115;147225;146970;341113;100416;Compra
2025-10-22 10:40:00;147115;147000;147195;146910;265301;83549;Compra
2025-10-22 10:45:00;147000;147215;147255;146980;266378;77707;Compra
2025-10-22 10:50:00;147210;147250;147510;147195;374804;111721;Compra
2025-10-22 10:55:00;147250;147175;147265;147065;248684;73105;Compra
2025-10-22 11:00:00;147170;147265;147300;147140;194859;58021;Compra
2025-10-22 11:05:00;147265;147215;147390;147190;203311;61531;Compra
2025-10-22 11:10:00;147210;147325;147345;147065;264047;76705;Compra
2025-10-22 11:15:00;147325;147540;147590;147270;294558;87908;Compra
2025-10-22 11:20:00;147540;147525;147575;147430;201777;58281;Compra
2025-10-22 11:25:00;147520;147255;147625;147245;294233;87074;Compra
2025-10-22 11:30:00;147260;147440;147480;147200;255203;76056;Compra
2025-10-22 11:35:00;147440;147310;147460;147300;198567;61155;Compra
2025-10-22 11:40:00;147310;147255;147395;147150;215593;65466;Compra
2025-10-22 11:45:00;147260;147310;147345;147150;233193;66451;Compra
2025-10-22 11:50:00;147315;147425;147455;147270;141376;44334;Compra
2025-10-22 11:55:00;147430;147480;147500;147380;128973;39185;Compra
2025-10-23 09:00:00;147960;148845;148860;147910;516451;209655;Venda
2025-10-23 09:05:00;148845;148940;148940;148615;333793;117276;Venda
2025-10-23 09:10:00;148940;148640;148985;148590;327952;110249;Venda
2025-10-23 09:15:00;148640;148740;148910;148615;263003;91260;Venda
2025-10-23 09:20:00;148745;148580;148900;148525;282716;97436;Venda
2025-10-23 09:25:00;148580;148845;148925;148555;253813;89325;Venda
2025-10-23 09:30:00;148850;148890;148905;148760;121953;41003;Venda
2025-10-23 09:35:00;148890;148900;148960;148845;154253;50175;Venda
2025-10-23 09:40:00;148895;148885;149010;148780;243948;77086;Venda
2025-10-23 09:45:00;148885;148925;149045;148885;221278;69926;Venda
2025-10-23 09:50:00;148925;148690;148945;148675;213923;69394;Venda
2025-10-23 09:55:00;148690;148660;148800;148545;272145;87138;Venda
2025-10-23 10:00:00;148660;148700;148845;148660;254875;83142;Venda
2025-10-23 10:05:00;148705;148835;149070;148700;372412;122174;Venda
2025-10-23 10:10:00;148835;148970;149125;148815;298221;95396;Venda
2025-10-23 10:15:00;148970;149030;149115;148960;210687;66043;Venda
2025-10-23 10:20:00;149025;149045;149085;148925;196952;61666;Venda
2025-10-23 10:25:00;149045;148920;149110;148885;205147;61373;Venda
2025-10-23 10:30:00;148925;148645;149000;148625;396511;119515;Venda
2025-10-23 10:35:00;148645;148385;148705;148300;463370;134012;Venda
2025-10-23 10:40:00;148390;148570;148595;148340;308510;88325;Venda
2025-10-23 10:45:00;148570;148555;148625;148435;257896;74225;Venda
2025-10-23 10:50:00;148560;148435;148590;148380;201918;59165;Venda
2025-10-23 10:55:00;148440;148395;148545;148340;185982;54025;Venda
2025-10-23 11:00:00;148390;148385;148460;148265;247120;72588;Venda
2025-10-23 11:05:00;148380;148340;148445;148290;173587;51133;Venda
2025-10-23 11:10:00;148345;148490;148505;148305;162512;50522;Venda
2025-10-23 11:15:00;148485;148330;148575;148310;263264;78441;Venda
